,alias,lat,long
0,['Burgers'],34.04131,-118.25434
1,"['Desserts', 'Macarons']",34.053486,-118.377981
2,['Bars'],34.05016788694886,-118.2485613174415
3,['Dentists'],34.2026936236953,-118.601752258837
4,"['Tobacco Shops', 'Vape Shops', 'Head Shops']",34.1299379296,-118.348853733
5,"['Self-defense Classes', 'Brazilian Jiu-jitsu']",34.0572501346573,-118.375692204893
6,['Martial Arts'],34.0384726,-118.2643831
7,['Apartments'],34.04157,-118.26389
8,"['Vegan', 'Vegetarian', 'Live/Raw Food']",34.1701124,-118.5397104
9,"['Amateur Sports Teams', 'Basketball Courts', 'Recreation Centers']",34.2403025,-118.569475
10,"['Jewelry', 'Watch Repair', 'Watches']",34.046776,-118.254121
11,"['Nail Salons', 'Eyelash Service', 'Waxing']",34.06142,-118.310424
12,['Laundromat'],34.0688489146016,-118.293731779104
13,['Laundromat'],34.2086149,-118.39675
14,['Orthodontists'],34.052633,-118.439669
15,"['Dog Walkers', 'Pet Sitting', 'Pet Groomers']",34.273803,-118.44255
16,"['Auto Repair', 'Body Shops', 'Transmission Repair']",34.08214,-118.27261
17,"['Chicken Shop', 'Chicken Wings', 'Fast Food']",34.037965,-118.44031
18,"['Gastropubs', 'Sports Bars', 'Beer Bar']",34.13877,-118.21328
19,"['Auto Repair', 'Tires']",34.0955654,-118.280217
20,['Tobacco Shops'],34.13979,-118.21655
21,"['Thai', 'Seafood', 'Salad']",34.064145,-118.2839221018524
22,['Car Rental'],34.18697,-118.44568
23,"['Beer, Wine & Spirits']",34.22779,-118.5007
24,"['Convenience Stores', 'Coffee & Tea']",34.190959602659426,-118.603397862691
25,"['Discount Store', 'Party Supplies']",34.1870079,-118.4850363
26,"['Car Stereo Installation', 'Car Window Tinting']",34.201641,-118.418655
27,"['Smog Check Stations', 'Auto Repair']",34.23145179999999,-118.5793337
28,"['Beer, Wine & Spirits']",34.2759799,-118.39765
29,['Tours'],34.0573616,-118.3094177
30,['Auto Repair'],34.208538,-118.475471
31,['General Dentistry'],34.0088099,-118.33924
32,['Bars'],34.1299,-118.34882
33,['Smog Check Stations'],34.20132,-118.3879149
34,['Auto Repair'],34.2028503,-118.4250488
35,"['Fingerprinting', 'Notaries', 'Passport & Visa Services']",34.17078,-118.550871
36,"['Notaries', 'Photography Stores & Services', 'Fingerprinting']",34.04754,-118.255095
37,['Security Systems'],33.782974,-118.133659
38,['Restaurants'],34.212823,-118.498347
39,"['Printing Services', 'Signmaking', 'Vehicle Wraps']",33.99018,-118.1393
40,"['Auto Repair', 'Oil Change Stations', 'Transmission Repair']",34.226864,-118.536446
41,['Registration Services'],34.04341,-118.30384
42,['Flea Markets'],33.9913558959961,-118.472229003906
43,['Pizza'],33.9907021,-118.465617
44,['Cosmetics & Beauty Supply'],33.95980284107125,-118.29110015183689
45,"['General Dentistry', 'Pediatric Dentists', 'Orthodontists']",34.20134,-118.53056
46,"['Elementary Schools', 'Preschools', 'Private Schools']",34.171831,-118.458359392013
47,['Mobility Equipment Sales & Services'],34.271701,-118.463893
48,"['Divorce & Family Law', 'Criminal Defense Law', 'Real Estate Law']",34.055993,-118.275006
49,['Accountants'],34.1579,-118.4218052
50,"[""Women's Clothing""]",34.03045,-118.25435
51,['Sewing & Alterations'],34.172639,-118.5617089
52,['Appliances'],34.08245,-118.34438
53,"[""Women's Clothing"", 'Plus Size Fashion']",34.1555471,-118.4337967
54,['Smog Check Stations'],34.086555480957,-118.184532165527
55,"['Valet Services', 'Parking']",34.16087,-118.512273
56,['Veterinarians'],33.72214,-118.31138
57,['Check Cashing/Pay-day Loans'],34.30920751,-118.43190207
58,"[""Women's Clothing"", 'Wholesale Stores']",34.03295,-118.25209
59,"['Carpet Cleaning', 'Pressure Washers', 'Office Cleaning']",33.97367,-118.33278
60,['General Contractors'],33.7961973,-118.1083936
61,"['Acupuncture', 'Chiropractors', 'Massage Therapy']",34.04907,-118.43576
62,"['Acupuncture', 'Skin Care']",34.15657,-118.4849
63,['Child Care & Day Care'],34.013421,-118.418464
64,['Laundry Services'],34.0324203,-118.3410774
65,"['Coffee & Tea', 'Sandwiches']",34.03402,-118.25127
66,['Sporting Goods'],34.1896380569203,-118.602748593104
67,"['Tours', 'Travel Services']",34.17355,-118.37949
68,"['Security Systems', 'Home Automation', 'Fire Protection Services']",34.237665,-118.567874
69,"['Hot Dogs', 'Burgers', 'Desserts']",33.96608,-118.29113
70,"['Adult', 'Lingerie']",34.19999,-118.53564
71,"['Chiropractors', 'Massage Therapy', 'Acupuncture']",33.95667,-118.3960951
72,"['Sports Medicine', 'Pain Management']",34.201643,-118.628598
73,['Urologists'],33.960204,-118.395724
74,['Used Car Dealers'],33.77934,-118.26866
75,['Musical Instruments & Teachers'],34.1644567,-118.6268188
76,['General Contractors'],34.171577,-118.465021
77,['Funeral Services & Cemeteries'],34.0064697265625,-118.256141662598
78,['Body Shops'],34.1951,-118.37077
79,['General Contractors'],34.0438,-118.30554
80,['Pharmacy'],34.01966749460755,-118.155082552761
81,"['Lounges', 'Dance Clubs', 'Music Venues']",33.9997292,-118.4649506
82,"['French', 'Breakfast & Brunch', 'Brasseries']",34.04478667,-118.24913033
83,['Medical Centers'],33.9652835896025,-118.384820222855
84,['Car Dealers'],33.97598,-118.38345
85,"['Windows Installation', 'Glass & Mirrors', 'Door Sales/Installation']",34.019942,-118.4688648
86,"['Party Equipment Rentals', 'Balloon Services']",33.946245,-118.286027
87,"['Party & Event Planning', 'DJs']",34.0918417,-118.28543
88,['Pest Control'],33.8659024,-118.3558055
89,['Car Dealers'],34.00934,-118.26494
90,['Photography Stores & Services'],34.00257,-118.2392
91,"['Fast Food', 'Juice Bars & Smoothies', 'Mexican']",34.043587,-118.250664
92,"['Grocery', 'Beer, Wine & Spirits', 'Delis']",33.981102,-118.463725
93,"['Home Window Tinting', 'Auto Glass Services']",34.200599,-118.593566
94,"['Mexican', 'Bars', 'Seafood']",33.79006,-118.280003
95,"['Coffee & Tea', 'Breakfast & Brunch', 'Desserts']",34.06156,-118.305636
96,['Shoe Stores'],34.1026192,-118.3395081
97,"['Hair Salons', 'Nail Salons', 'Waxing']",34.2200775,-118.5729218
98,"['Hospice', 'Hospitals']",34.16374,-118.4491
99,['Antiques'],34.0657375752926,-118.238507732749
100,"['Jewelry', 'Watch Repair', 'Jewelry Repair']",34.0450864438963,-118.432828083571
101,['Art Galleries'],34.0107151,-118.30446
102,['Water Stores'],33.75219916140583,-118.30737884960504
103,['Laundry Services'],34.2570855517838,-118.5038204908
104,"['Auto Repair', 'Tires']",34.194298,-118.450177
105,['Heating & Air Conditioning/HVAC'],33.8588849,-118.047805
106,"['Breakfast & Brunch', 'Coffee & Tea', 'Wine Bars']",34.05752595588238,-118.28580191031348
107,['Gymnastics'],34.1549199,-118.6535389
108,"['Auto Repair', 'Tires']",34.27154,-118.53645
109,"['Hobby Shops', 'Party & Event Planning']",34.25685,-118.59184
110,"['Electricians', 'Lighting Fixtures & Equipment']",33.7575746,-118.1083652
111,"['Roofing', 'Building Supplies']",33.989800272229,-118.29635694623
112,['Dry Cleaning'],33.782125,-118.2978618
113,['Wholesale Stores'],34.2007,-118.37285
114,['Recycling Center'],33.9968000470101,-118.264810144901
115,"['Pawn Shops', 'Jewelry', 'Watches']",34.2340741,-118.4393175
116,"['Cosmetic Dentists', 'General Dentistry', 'Teeth Whitening']",34.045079,-118.441795
117,"['Breakfast & Brunch', 'Hawaiian', 'Salad']",34.04706465604824,-118.2389878
118,['Car Wash'],34.00397,-118.27223
119,['Veterinarians'],34.1589699,-118.39615
120,"['General Dentistry', 'Cosmetic Dentists']",34.150114,-118.444937
121,"['Naturopathic/Holistic', 'Nutritionists']",34.00227,-118.46918
122,"['Medical Centers', 'Doctors']",34.019977,-118.15348
123,"['Auto Repair', 'Used Car Dealers', 'Body Shops']",34.2511,-118.38804
124,[],34.2466354370117,-118.535667419434
125,"['Leather Goods', 'Home Decor', 'Accessories']",34.08033757528314,-118.25536239753669
126,['Tours'],34.0553599999881,-118.38376427423
127,"['Thai', 'Noodles', 'Soup']",34.24946435454307,-118.60626404662705
128,['Oil Change Stations'],33.985107421875,-118.309257507324
129,"['Optometrists', 'Eyewear & Opticians']",34.09047,-118.3166580392318
130,['Awnings'],34.2036541,-118.3963405
131,"['Steakhouses', 'Seafood', 'Cocktail Bars']",33.998085,-118.474558
132,"[""Women's Clothing"", 'Used, Vintage & Consignment', 'Thrift Stores']",34.152237,-118.447315
