Zip Code,Estimated Median Income
90001,52806
90002,46159
90003,47733
90004,54947
90005,44913
90006,41068
90007,33222
90008,49379
90010,76547
90011,47126
90012,53278
90013,22291
90014,31332
90015,53062
90016,53659
90017,44607
90018,55275
90019,61616
90020,51013
90021,25364
90023,48293
90024,67422
90025,100453
90026,70436
90027,78356
90028,52814
90029,50822
90031,53319
90032,65761
90033,49734
90034,88490
90035,101570
90036,87868
90037,45128
90038,51096
90039,99226
90041,95811
90042,81853
90043,60599
90044,43388
90045,115943
90046,77162
90047,62399
90048,102567
90049,143000
90057,43796
90058,33146
90059,47682
90061,50427
90062,56500
90063,57026
90064,109357
90065,80386
90066,90983
90067,109704
90068,90733
90069,98440
90077,200625
90210,154740
90247,65598
90248,69645
90272,212115
90291,105871
90292,137813
90293,110884
90402,139667
90501,80816
90710,68537
90731,61144
90732,105297
90744,55141
91040,98044
91042,73115
91303,66494
91304,74987
91306,77597
91307,125343
91311,101623
91316,79858
91324,88003
91325,73119
91326,130322
91331,72089
91335,68163
91340,67638
91342,84312
91343,71380
91344,104640
91345,85659
91352,65085
91356,90886
91364,116443
91367,98803
91401,65458
91402,51485
91403,104499
91405,54391
91406,64875
91411,67430
91423,97727
91436,157898
91504,89219
91601,61761
91602,83866
91604,124271
91605,56403
91606,57146
91607,80871
91007,78445
90232,66307
90254,66746
90703,76855
90745,87128
91505,64252
90201,69554
91302,87640
91302,83223
90265,56787
90304,66949
90815,60409
90403,68261
91740,66756
90405,74069
90040,52077
90712,75529
90278,87258
90740,51319
91780,72946
91780,61544
91790,58821
91502,59739
91210,68624
91384,85318
90274,57408
91020,60633
90262,52447
91384,88021
90290,73004
90305,81119
