ZIP CODE,Year,Year,Quarter,time
90744,20,2020,Q1,"2020, Q1"
90293,21,2021,Q2,"2021, Q2"
90049,99,1999,Q1,"1999, Q1"
90047,17,2017,Q3,"2017, Q3"
91352,14,2014,Q4,"2014, Q4"
90035,11,2011,Q1,"2011, Q1"
90018,17,2017,Q1,"2017, Q1"
90024,5,2005,Q1,"2005, Q1"
91325,14,2014,Q2,"2014, Q2"
90305,15,2015,Q1,"2015, Q1"
91411,15,2015,Q1,"2015, Q1"
90015,89,1989,Q3,"1989, Q3"
90017,84,1984,Q1,"1984, Q1"
90021,15,2015,Q2,"2015, Q2"
91505,15,2015,Q4,"2015, Q4"
91402,82,1982,Q3,"1982, Q3"
90028,14,2014,Q2,"2014, Q2"
90061,18,2018,Q1,"2018, Q1"
90201,20,2020,Q1,"2020, Q1"
90042,14,2014,Q1,"2014, Q1"
90744,14,2014,Q1,"2014, Q1"
91744,15,2015,Q3,"2015, Q3"
90014,91,1991,Q1,"1991, Q1"
90230,19,2019,Q3,"2019, Q3"
91401,12,2012,Q2,"2012, Q2"
90038,14,2014,Q4,"2014, Q4"
90025,15,2015,Q1,"2015, Q1"
90044,81,1981,Q2,"1981, Q2"
91342,22,2022,Q3,"2022, Q3"
91303,12,2012,Q4,"2012, Q4"
91335,15,2015,Q2,"2015, Q2"
91423,15,2015,Q3,"2015, Q3"
90066,15,2015,Q3,"2015, Q3"
90044,17,2017,Q1,"2017, Q1"
90029,20,2020,Q4,"2020, Q4"
91605,14,2014,Q3,"2014, Q3"
90015,15,2015,Q2,"2015, Q2"
90015,93,1993,Q4,"1993, Q4"
90045,96,1996,Q2,"1996, Q2"
90292,15,2015,Q1,"2015, Q1"
91342,17,2017,Q2,"2017, Q2"
91306,15,2015,Q1,"2015, Q1"
90026,7,2007,Q1,"2007, Q1"
90005,19,2019,Q1,"2019, Q1"
91401,14,2014,Q2,"2014, Q2"
91406,15,2015,Q3,"2015, Q3"
90047,22,2022,Q2,"2022, Q2"
90038,15,2015,Q3,"2015, Q3"
90011,15,2015,Q1,"2015, Q1"
91501,17,2017,Q2,"2017, Q2"
